index-SBgTUTBi.js:451 🔄 UNIFIED PIPELINE: Events: 2611 Incidents: 7400
index-SBgTUTBi.js:451 🏠 HOME LOCATION: Caloundra, Sunshine Coast Regional 4551, Queensland COORDINATES: {lat: -26.7981633, lon: 153.1354434} RADIUS: 50km
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:3a0e9772-24be-4a9d-8e8e-74eaa9957967', title: 'FIRE VEGETATION - Unknown, MOUNT MOFFATT', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:96ac5e7f-cebe-45fc-ac4f-43c59df6ce87', title: 'FIRE VEGETATION - Unnamed Gregory Rd, GREGORY', location: 'Unnamed Gregory Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:537299e5-6d79-4ec3-a519-8a0d2c1f40e8', title: 'FIRE VEGETATION - Collaroy Tierawoomba Rd, COLLAROY', location: 'Collaroy Tierawoomba Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:1af6016c-43ba-44ab-b83b-3e9932a466a8', title: 'FIRE VEGETATION - Unknown, CROYDON #1', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:e46b2932-45db-46a1-ae5a-c446d8ba819b', title: 'FIRE VEGETATION - Unknown, DUTTON RIVER', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:b312bfd5-990c-4115-805e-366ac1e6cedc', title: 'FIRE VEGETATION - Bruce Hwy, CARMILA', location: 'Bruce Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:2d5cface-cb47-4865-bb24-30b43dd1facb', title: 'FIRE VEGETATION - BURKE DEVELOPMENTAL RD, FOUR WAYS', location: 'BURKE DEVELOPMENTAL RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:aa230310-f63b-4830-b737-4bcb6c6ac9ba', title: 'FIRE VEGETATION - BRANCH CREEK RD & BANIA RD, YARROL', location: 'BRANCH CREEK RD & BANIA RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:f4d7eddf-d0ce-4cea-a9bf-0d3cee1720dc', title: 'RESCUE ROAD CRASH - GLADSTONE BENARABY RD, TOOLOOA', location: 'GLADSTONE BENARABY RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:62d8f3a6-227b-4735-955c-b5f8a3c41b2c', title: 'RESCUE ROAD CRASH - TOOWOOMBA ATHOL RD, WESTBROOK', location: 'TOOWOOMBA ATHOL RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:3993142b-c90c-4f6c-ba49-4692188096d3', title: 'FIRE VEGETATION - MALBON SELWYN RD, KURIDALA', location: 'MALBON SELWYN RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:d2549196-2dcd-4916-b026-15274996f707', title: 'FIRE VEGETATION - STAFFORDS RD, BLOOMSBURY', location: 'STAFFORDS RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:a370060c-c049-4c98-8807-d3ff2e6a8583', title: 'FIRE VEGETATION - Mundubbera Durong Rd & Monogorilby Rd, BROVINIA', location: 'Mundubbera Durong Rd & Monogorilby Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:bcee7978-d6ac-4883-839b-553548ac4727', title: 'RESCUE ROAD CRASH - PATRICK ST & BELSON ST, MALANDA', location: 'PATRICK ST & BELSON ST', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:2af79c23-21a0-4d35-97a0-a64765eb7322', title: 'HAZMAT ALL - MONS RD & PARSONS RD, FOREST GLEN', location: 'MONS RD & PARSONS RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:2dbd3b82-aa7f-49ba-98ed-a34bc6035253', title: 'FIRE VEGETATION - Stephens Rd, SOUTH BRISBANE', location: 'Stephens Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:97b6f201-81f8-46fe-9ec6-33d43bef7204', title: 'FIRE VEHICLE - Bruce Hwy, BALBERRA', location: 'Bruce Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:4889a4fb-6f41-4e73-95b8-edda4d8b2cb5', title: 'FIRE VEGETATION - Bruce Hwy & Mount Alma Rd, EAST END', location: 'Bruce Hwy & Mount Alma Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:4018825d-ab8c-4673-bac5-2c5eb990f8d9', title: 'RESCUE ROAD CRASH - EXETER ST, TORQUAY', location: 'EXETER ST', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:4568d639-9126-46f2-9ba8-71fc80f20130', title: 'RESCUE ROAD CRASH - BRENTWOOD DR, DAISY HILL', location: 'BRENTWOOD DR', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:c1e48cda-1a40-4b7d-a827-80e229bfe863', title: 'FIRE STRUCTURE - Waverley Rd, TARINGA', location: 'Waverley Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:78fdab22-7481-4f1d-b773-3ffdb65e4925', title: 'FIRE VEGETATION - Unknown, BYERSTOWN', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:b66e73e3-3aa1-47a8-8c7b-a771c6a072b6', title: 'FIRE VEGETATION - SOUTHERN PORT RD, STUART', location: 'SOUTHERN PORT RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:5bb6f718-7f0c-4a81-a263-77cbcfe3fa17', title: 'FIRE VEGETATION - Coralie Rd, CROYDON', location: 'Coralie Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:9c67db63-b6c0-48b6-acea-73f9d7d4bf4d', title: 'FIRE VEGETATION - Glebe Weir Rd, SPRING CREEK', location: 'Glebe Weir Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:035b765d-cf64-45d3-98a6-49000fb9737f', title: 'FIRE VEGETATION - Potosi Rd, MUTTABURRA', location: 'Potosi Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:59319c9e-c082-406f-a6f9-56845ba18baf', title: 'FIRE VEGETATION - Bruce Hwy, EAST END', location: 'Bruce Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:878d4036-d5eb-47bb-b9c1-857d3c3f863d', title: 'FIRE VEGETATION - Unnamed Opalton Rd, OPALTON', location: 'Unnamed Opalton Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:51893a2d-90fe-40cd-9cb0-f06cd07e1a1a', title: 'FIRE VEHICLE - Dawson Hwy & Duck Holes Rd, MOUNT ALMA', location: 'Dawson Hwy & Duck Holes Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:76eebf8d-96c1-48ff-ad9f-f95f51af6665', title: 'FIRE VEGETATION - Unknown, GIDYA', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:c213dbdc-ad76-4691-86e3-a9266f084880', title: 'FIRE VEGETATION - Barkly Hwy, GUNPOWDER', location: 'Barkly Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:d4e18302-b593-46ec-a24c-19085d72f9c2', title: 'FIRE VEGETATION - Nymbool Rd, MOUNT GARNET', location: 'Nymbool Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:4bc90cb5-4fab-44cd-8e62-9af229a06d30', title: 'FIRE PERMITTED BURN - Murray Falls Rd, MURRAY UPPER', location: 'Murray Falls Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:dd9d740c-b444-4254-9456-5466d9f93489', title: 'FIRE VEGETATION - Barngo Rd, UPPER WARREGO', location: 'Barngo Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:2ea65ebe-74f8-4f5f-af76-c49f12991bb8', title: 'FIRE VEGETATION - POISON LAKE RD, GREENVALE', location: 'POISON LAKE RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:4a0846ce-d2b0-499e-9811-129c7be84699', title: 'FIRE VEGETATION - BRUCE HWY & FAIRVIEW RD, EAST END', location: 'BRUCE HWY & FAIRVIEW RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:44dae94f-ec67-411c-af24-c540b17a6cff', title: 'FIRE VEGETATION - Lucke Rd & Lake Rd, BRACEWELL', location: 'Lucke Rd & Lake Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:9815376b-fb97-4e33-9ede-88608edfd521', title: 'FIRE VEGETATION - Wallace Dr, MAREEBA', location: 'Wallace Dr', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:4beaaaea-248f-49b0-a93d-d8c3da0b9d71', title: 'FIRE VEGETATION - CULLENDORE RD & BORDER FENCE RD, ELBOW VALLEY', location: 'CULLENDORE RD & BORDER FENCE RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:68e4d3a7-551d-4da9-8548-c747fbb7fd00', title: 'FIRE VEGETATION - Oleander Dr, PARKLANDS', location: 'Oleander Dr', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:38cdd85c-32ba-406a-b61f-36bce87a4f49', title: 'FIRE VEGETATION - Unknown, CROYDON', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:0c548828-58c8-42dc-a1e7-ccdb580116c9', title: 'FIRE VEGETATION - Unknown, CROYDON #6', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:f3c7464f-5688-4b64-98da-7e2d0765af46', title: 'FIRE VEGETATION - Unknown, CROYDON #5', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:0a187125-4245-45b6-a490-06bf7d2f768f', title: 'FIRE VEGETATION - Unknown, CROYDON #4', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:e50d4498-4e06-4bae-9b1c-28f46d1372f7', title: 'FIRE VEGETATION - Unknown, CROYDON #2', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:b0489271-d707-44dc-9e43-e6269299b6c4', title: 'FIRE VEGETATION - Unknown, CROYDON #3', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:7be4f012-38d1-4155-8aeb-8898235b86de', title: 'FIRE VEGETATION - Unknown, MOUNT MOFFATT', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:5c896c3d-237e-4c35-ab69-45cab00e43f6', title: 'FIRE VEGETATION - Forestvale Rd, FORESTVALE', location: 'Forestvale Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:f9bacd51-b678-480a-a633-5ddf68695938', title: 'FIRE VEGETATION - Richmond Winton Rd & Olio Fairview Rd, KYNUNA', location: 'Richmond Winton Rd & Olio Fairview Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:78ea1099-120e-4c88-89b8-ed9d6535bee8', title: 'FIRE VEGETATION - Unknown, CROYDON #1', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:992c6988-cfe8-40e5-be21-4cacd60078b5', title: 'FIRE VEGETATION - Collaroy Tierawoomba Rd, COLLAROY', location: 'Collaroy Tierawoomba Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:db1ab89c-3fae-46c8-85d4-56d385fa2bb3', title: 'FIRE VEGETATION - Unnamed Gregory Rd, GREGORY', location: 'Unnamed Gregory Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:efe5098f-fbda-4a58-b28c-a035b6eb4ba2', title: 'FIRE VEGETATION - BURKE DEVELOPMENTAL RD, FOUR WAYS', location: 'BURKE DEVELOPMENTAL RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:c10352d2-4008-46c4-a28b-aa34cdd8c7f2', title: 'FIRE VEGETATION - Unknown, DUTTON RIVER', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:f7b3e049-0815-4bde-b881-1f7c641f8eb2', title: 'FIRE VEGETATION - Bruce Hwy, CARMILA', location: 'Bruce Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:c3f34fd6-eeef-4d5e-884b-e9f8de3960ce', title: 'FIRE VEGETATION - STAFFORDS RD, BLOOMSBURY', location: 'STAFFORDS RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:7e48aa92-9097-4fd8-b006-10c1d06f1cf9', title: 'FIRE VEGETATION - Mundubbera Durong Rd & Monogorilby Rd, BROVINIA', location: 'Mundubbera Durong Rd & Monogorilby Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:9addf781-94c8-4dc0-a74d-6b9df8a29af1', title: 'FIRE VEGETATION - BRANCH CREEK RD & BANIA RD, YARROL', location: 'BRANCH CREEK RD & BANIA RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:3c37895b-08f4-4d55-8352-93d45064e3a2', title: 'FIRE VEGETATION - BRUCE HWY & FAIRVIEW RD, EAST END', location: 'BRUCE HWY & FAIRVIEW RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:0102faaa-64f1-4358-a1ab-8888c4f2469c', title: 'RESCUE ROAD CRASH - DAWSON HWY & BANANA HOLDING RD, BANANA', location: 'DAWSON HWY & BANANA HOLDING RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:434db42f-0dcd-4b15-ad98-cd4ded68c36d', title: 'FIRE VEGETATION - CHINCHILLA WONDAI RD & T H BURNS RD, BALLOGIE', location: 'CHINCHILLA WONDAI RD & T H BURNS RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:163a9871-bd17-48d9-b42c-000e3b890976', title: 'FIRE VEGETATION - Bruce Hwy, EAST END', location: 'Bruce Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:1fbd4eb7-76bf-44c4-934d-d86b25ee1bfb', title: 'FIRE VEGETATION - Oleander Dr, PARKLANDS', location: 'Oleander Dr', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:1afea6ce-e315-4596-a2d7-a02d0f25adcc', title: 'FIRE VEGETATION - Wallace Dr, MAREEBA', location: 'Wallace Dr', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:52a70f03-f66b-4fb6-b3e4-c6e7160a300a', title: 'FIRE VEGETATION - CULLENDORE RD & BORDER FENCE RD, ELBOW VALLEY', location: 'CULLENDORE RD & BORDER FENCE RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:f236299b-1b21-4675-a58d-523684634ab6', title: 'FIRE PERMITTED BURN - Sunridge Rd, EUDLO', location: 'Sunridge Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:933f89ab-6c17-49ee-b730-0c2d9759938e', title: 'FIRE VEGETATION - Wineba Rd, REDFORD', location: 'Wineba Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:0eaf6754-8f59-42f0-ab0d-c580c8e752ba', title: 'FIRE VEGETATION - FLINDERS HWY, MINGELA', location: 'FLINDERS HWY', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:e4240fc6-b863-4829-90c9-4d1f5e20112a', title: 'FIRE VEGETATION - Unknown, BYERSTOWN', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:5aa46dbd-87ec-4ca6-a751-744eefa97873', title: 'FIRE VEGETATION - Hoganthulla Rd, CAROLINE CROSSING', location: 'Hoganthulla Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:3082f43e-63f2-4ccb-8868-a46427d0f088', title: 'FIRE VEGETATION - DONNYBROOK RD, WALHALLOW', location: 'DONNYBROOK RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:3866b25b-08c5-4630-afae-b6579109d4a2', title: 'FIRE VEGETATION - Leichhardt Hwy, KOWGURAN', location: 'Leichhardt Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:04e949d6-37fc-4d5e-8739-46cf651b4084', title: 'FIRE VEGETATION - Lucke Rd & Lake Rd, BRACEWELL', location: 'Lucke Rd & Lake Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:4ea0a180-3be5-4b4b-9d33-1aee83925358', title: 'FIRE VEGETATION - Healys Crossing Rd, BRIGALOW', location: 'Healys Crossing Rd', hasCoordinates: true}
